signal_date,symbol,entry_price,exit_price,pnl_amount,pnl_percentage,cumulative_balance,outcome,vix_value,market_regime,exit_date_daily,days_to_result,z_score
2020-01-21,AXISBANK,717.6,749.36,4414.64,4.43,104414.64,HIT_TARGET,16.36,BULL_SLOPE_50,2020-02-10,13,-2.32
2020-01-21,HDFCBANK,622.2,612.05,-1624.0,-1.63,102790.64,HIT_STOP_LOSS,16.36,BULL_SLOPE_50,2020-01-27,4,-2.49
2020-01-22,AXISBANK,712.6,744.09,4408.6,4.42,107199.24,HIT_TARGET,15.86,BULL_SLOPE_50,2020-01-27,3,-2.25
2020-01-28,HDFCBANK,611.6,602.0,-1564.8,-1.57,105634.44,HIT_STOP_LOSS,16.5,BULL_SLOPE_50,2020-01-31,4,-2.31
2020-01-28,RELIANCE,701.4,681.38,-2842.84,-2.85,102791.6,HIT_STOP_LOSS,16.5,BULL_SLOPE_50,2020-01-30,3,-2.74
2020-01-30,RELIANCE,688.1,669.96,-2631.02,-2.64,100160.58,HIT_STOP_LOSS,17.37,BULL_SLOPE_50,2020-01-31,2,-2.64
2020-01-31,TCS,2079.05,2171.58,4441.44,4.45,104602.02,HIT_TARGET,16.84,BEAR_FLAT_50,2020-01-31,1,-2.76
2020-02-03,ICICIBANK,504.6,529.62,4953.96,4.96,109555.98,HIT_TARGET,14.38,BEAR_FLAT_50,2020-02-03,1,-2.97
2020-02-03,NIFTY,11661.85,12034.35,2980.0,3.19,112535.98,HIT_TARGET,14.38,BEAR_FLAT_50,2020-02-04,2,-2.96
2020-02-04,ITC,215.65,209.8,-2710.86,-2.72,109825.11,HIT_STOP_LOSS,14.17,BULL_SLOPE_50,2020-02-13,7,-2.88
2020-02-26,NIFTY,11678.5,11450.18,-1826.56,-1.96,107998.55,HIT_STOP_LOSS,17.77,BEAR_FLAT_50,2020-02-27,2,-2.26
2020-02-28,HDFCBANK,588.8,577.07,-1982.37,-1.99,106016.18,HIT_STOP_LOSS,23.24,BEAR_FLAT_50,2020-03-03,2,-2.32
2020-02-28,ICICIBANK,497.25,480.38,-3390.87,-3.39,102625.31,HIT_STOP_LOSS,23.24,BEAR_FLAT_50,2020-03-05,4,-2.51
2020-02-28,NIFTY,11201.75,10939.89,-2094.88,-2.34,100530.43,HIT_STOP_LOSS,23.24,BEAR_FLAT_50,2020-03-05,4,-3.05
2020-03-02,HDFCBANK,588.8,577.07,-1982.37,-1.99,98548.06,HIT_STOP_LOSS,24.54,BEAR_FLAT_50,2020-03-03,2,-2.32
2020-03-02,ICICIBANK,497.25,480.38,-3390.87,-3.39,95157.19,HIT_STOP_LOSS,24.54,BEAR_FLAT_50,2020-03-05,4,-2.51
2020-03-02,NIFTY,11201.75,10939.89,-2094.88,-2.34,93062.31,HIT_STOP_LOSS,24.54,BEAR_FLAT_50,2020-03-05,4,-3.05
2020-03-03,AXISBANK,687.15,668.64,-2683.95,-2.69,90378.36,HIT_STOP_LOSS,24.23,BEAR_FLAT_50,2020-03-03,1,-2.46
2020-03-04,AXISBANK,682.2,663.39,-2746.99,-2.76,87631.37,HIT_STOP_LOSS,23.25,BEAR_FLAT_50,2020-03-05,2,-2.21
2020-03-04,HDFCBANK,574.4,562.51,-2068.86,-2.07,85562.51,HIT_STOP_LOSS,23.25,BEAR_FLAT_50,2020-03-05,2,-2.55
2020-03-04,SBIN,285.3,272.26,-4565.75,-4.57,80996.76,HIT_STOP_LOSS,23.25,BEAR_FLAT_50,2020-03-04,1,-2.44
2020-03-11,INFY,686.0,661.56,-3543.8,-3.56,77452.96,HIT_STOP_LOSS,41.16,BEAR_FLAT_50,2020-03-11,1,-3.01
2020-03-12,ADANIENT,162.15,146.29,-9769.76,-9.78,67683.2,HIT_STOP_LOSS,51.47,BEAR_FLAT_50,2020-03-12,1,-3.05
2020-03-12,BHARTIARTL,456.4,495.09,8473.11,8.48,76156.31,HIT_TARGET,51.47,BEAR_FLAT_50,2020-03-12,1,-3.07
2020-03-12,POLYCAB,875.25,989.88,13067.82,13.1,89224.13,HIT_TARGET,51.47,BEAR_FLAT_50,2020-03-12,1,-3.1
2020-08-13,BHARTIARTL,525.5,512.14,-2537.45,-2.54,86686.68,HIT_STOP_LOSS,21.67,BULL_SLOPE_50,2020-08-17,2,-2.25
2020-08-14,BHARTIARTL,518.85,505.43,-2577.6,-2.59,84109.08,HIT_STOP_LOSS,21.67,BULL_SLOPE_50,2020-08-25,6,-2.31
2020-08-17,BHARTIARTL,518.85,505.43,-2577.6,-2.59,81531.48,HIT_STOP_LOSS,20.43,BULL_SLOPE_50,2020-08-25,6,-2.31
2020-08-18,BHARTIARTL,516.6,504.39,-2356.53,-2.36,79174.95,HIT_STOP_LOSS,19.96,BULL_SLOPE_50,2020-08-25,5,-2.28
2020-09-01,INFY,914.15,953.31,4268.44,4.28,83443.39,HIT_TARGET,21.11,BULL_SLOPE_50,2020-09-10,7,-2.96
2020-09-02,HINDUNILVR,2141.65,2109.88,-1461.65,-1.48,81981.74,HIT_STOP_LOSS,20.5,BULL_SLOPE_50,2020-09-14,7,-2.26
2020-09-08,SUNPHARMA,501.9,483.45,-3670.55,-3.68,78311.19,HIT_STOP_LOSS,22.23,BULL_SLOPE_50,2020-09-23,10,-2.25
2020-09-18,HUDCO,32.8,31.58,-3718.56,-3.72,74592.63,HIT_STOP_LOSS,20.05,BULL_SLOPE_50,2020-09-21,1,-2.27
2020-09-21,HUDCO,32.8,31.58,-3718.56,-3.72,70874.07,HIT_STOP_LOSS,21.41,BULL_SLOPE_50,2020-09-21,1,-2.27
2020-09-22,HUDCO,31.0,33.62,8449.5,8.45,79323.57,HIT_TARGET,20.99,BULL_SLOPE_50,2020-10-08,10,-2.6
2020-09-22,RVNL,19.2,18.45,-3879.96,-3.88,75443.61,HIT_STOP_LOSS,20.99,BULL_SLOPE_50,2020-10-13,12,-2.5
2020-09-24,ICICIBANK,335.7,363.87,8366.49,8.39,83810.1,HIT_TARGET,20.68,BULL_SLOPE_50,2020-09-30,4,-2.38
2020-09-24,ITC,166.55,175.1,5130.0,5.13,88940.1,HIT_TARGET,20.68,BULL_SLOPE_50,2020-11-05,24,-2.23
2020-09-24,BHARTIARTL,411.55,459.71,11654.72,11.7,100594.82,HIT_TARGET,20.68,BULL_SLOPE_50,2020-10-27,18,-2.41
2020-10-14,JWL,14.5,15.43,6413.28,6.41,107008.1,HIT_TARGET,22.06,BULL_SLOPE_50,2020-10-14,1,-2.43
2020-10-27,RELIANCE,969.65,938.53,-3204.85,-3.21,103803.25,HIT_STOP_LOSS,23.28,BULL_SLOPE_50,2020-11-02,4,-2.56
2020-10-28,RELIANCE,958.65,930.94,-2881.32,-2.89,100921.93,HIT_STOP_LOSS,24.02,BULL_SLOPE_50,2020-11-02,3,-2.32
2021-02-23,TCS,2980.2,2901.55,-2595.28,-2.64,98326.64,HIT_STOP_LOSS,24.17,BULL_SLOPE_50,2021-02-25,3,-2.25
2021-03-02,BHARTIARTL,531.25,507.64,-4437.74,-4.44,93888.9,HIT_STOP_LOSS,22.09,BULL_SLOPE_50,2021-03-08,4,-2.26
2021-03-10,JWL,17.5,16.55,-5428.3,-5.43,88460.6,HIT_STOP_LOSS,20.75,BULL_SLOPE_50,2021-03-16,3,-2.34
2021-03-11,JWL,17.5,16.55,-5428.3,-5.43,83032.3,HIT_STOP_LOSS,21.71,BULL_SLOPE_50,2021-03-16,3,-2.34
2021-03-17,SBIN,368.15,354.35,-3738.45,-3.75,79293.86,HIT_STOP_LOSS,20.08,BULL_SLOPE_50,2021-03-24,5,-2.23
